amount,is_in_contacts,hour_of_day,is_new_receiver,label
1877.07,0,22,1,0
10000.0,0,3,1,1
5266.98,1,17,1,0
3651.77,0,4,1,1
678.5,1,15,1,0
678.39,0,13,1,0
239.36,1,18,1,0
8044.92,1,13,1,0
3676.33,0,8,1,0
4925.0,0,5,1,1
83.2,0,16,1,0
10000.0,1,18,1,0
7145.72,0,11,1,1
954.75,1,3,1,0
802.72,0,15,1,0
810.45,0,10,1,0
1451.01,0,21,1,0
2975.71,0,3,1,1
2262.15,0,16,1,0
1376.89,1,7,1,0
3785.48,1,13,1,0
600.94,0,1,1,1
1382.06,1,10,1,0
1825.11,1,10,1,0
2435.74,1,23,1,0
6151.74,0,21,1,1
890.94,0,23,1,0
2888.12,0,5,1,1
3590.02,1,20,1,0
190.26,0,20,1,0
3741.33,0,13,1,0
747.85,0,9,1,0
269.06,0,7,1,0
10000.0,1,6,1,0
10000.0,0,7,1,1
6609.33,0,7,1,1
1453.15,1,22,1,0
411.11,1,1,1,0
4611.0,1,15,1,0
2320.36,1,8,1,0
520.61,1,12,1,0
2734.19,0,22,1,0
139.97,0,11,1,0
9601.69,1,21,1,0
1197.83,1,16,1,0
4345.02,1,1,1,0
1494.19,0,12,1,0
2936.44,0,0,1,0
3164.9,0,18,1,0
817.55,0,10,1,0
10000.0,0,4,1,1
5968.98,1,0,1,0
10000.0,0,19,1,1
9008.61,0,12,1,1
3644.22,0,7,1,0
10000.0,1,5,1,0
370.62,0,16,1,0
872.54,0,11,1,0
185.13,0,0,1,1
1574.13,0,2,1,0
1968.52,1,13,1,0
1266.24,1,7,1,0
7058.23,0,10,1,1
1764.91,0,13,1,0
1319.21,1,7,1,0
3129.63,0,2,1,1
607.59,0,6,1,0
6481.93,0,18,1,1
309.9,1,3,1,0
10000.0,0,15,1,1
5917.94,0,12,1,1
886.16,1,19,1,0
22.15,0,18,1,0
6759.59,0,4,1,1
4908.38,1,22,1,0
5222.65,0,4,1,1
5900.86,1,19,1,0
307.72,0,23,1,0
1775.57,0,3,1,1
492.6,0,1,1,0
7954.12,0,12,1,1
3905.2,0,15,1,0
1607.28,1,21,1,0
262.67,0,1,1,1
1489.95,0,18,1,0
1573.26,0,16,1,0
5231.5,1,4,1,0
4059.56,0,17,1,0
8729.01,0,22,1,1
2556.26,0,20,1,0
509.49,0,17,1,0
4996.51,0,7,1,0
5721.57,1,14,1,0
3295.55,0,12,1,0
5895.56,0,12,1,1
2723.26,0,15,1,0
2958.72,1,21,1,0
2231.26,0,19,1,0
102.99,0,12,1,0
456.67,0,19,1,0
127.73,0,1,1,1
4046.92,0,2,1,1
1509.59,0,14,1,0
2841.75,0,22,1,0
9525.06,0,18,1,1
1146.96,0,12,1,0
2113.13,0,4,1,1
5635.0,0,21,1,1
1039.22,1,5,1,0
320.42,1,13,1,0
1368.56,1,3,1,0
703.23,1,21,1,0
10000.0,1,18,1,0
6603.55,1,22,1,0
4013.98,0,6,1,0
8206.08,1,3,1,0
6511.88,0,1,1,1
825.98,0,6,1,0
8923.25,1,2,1,1
3100.4,0,14,1,0
6589.39,0,0,1,1
9056.97,1,1,1,0
1530.92,0,9,1,0
466.37,0,15,1,0
1034.75,1,14,1,0
2228.23,1,23,1,0
6815.32,0,14,1,1
7885.38,0,13,1,1
27.91,0,21,1,0
2859.5,1,13,1,0
2161.09,0,5,1,1
1004.67,0,13,1,0
510.72,0,16,1,0
1647.63,0,17,1,0
10000.0,1,19,1,0
1561.54,0,18,1,0
2925.81,1,16,1,0
4856.35,0,15,1,0
1807.9,1,7,1,0
10000.0,1,6,1,0
10000.0,0,19,1,1
1160.25,0,11,1,0
2750.64,0,8,1,0
1431.72,1,13,1,0
1341.0,0,19,1,0
150.34,1,0,1,0
3761.97,1,9,1,0
2794.08,1,16,1,0
211.4,1,16,1,0
1306.5,0,16,1,0
9555.44,0,3,1,1
1095.44,0,16,1,0
626.12,1,17,1,0
2689.09,1,19,1,0
10000.0,1,22,1,0
1108.58,0,1,1,1
4460.62,0,7,1,0
5735.55,1,12,1,0
1085.33,0,22,1,0
5211.0,0,21,1,1
1834.09,1,19,1,0
4002.01,0,21,1,0
4015.35,0,14,1,0
3069.54,0,19,1,0
378.52,0,22,1,0
7214.58,1,8,1,0
1547.24,0,2,1,1
825.73,0,2,1,1
166.52,0,1,1,0
3575.11,1,0,1,0
4527.41,0,13,1,0
66.91,0,16,1,0
2870.52,0,12,1,0
1027.3,0,18,1,0
4144.5,0,22,1,0
766.42,1,14,1,0
4696.85,1,13,1,0
1955.83,0,1,1,1
10000.0,0,6,1,1
591.78,1,16,1,0
1668.53,0,17,1,0
481.78,1,5,1,0
10000.0,0,20,1,1
8393.33,1,7,1,0
1193.31,1,1,1,0
4315.05,1,0,1,0
6797.94,1,15,1,0
3240.53,0,6,1,0
3017.12,1,21,1,0
1107.51,0,23,1,0
390.9,0,10,1,0
9100.49,1,14,1,0
9227.1,1,12,1,0
4010.68,1,23,1,0
1656.19,0,1,1,1
1718.27,1,13,1,0
5177.86,1,23,1,0
9096.39,0,5,1,1
8724.53,0,8,1,1
6054.25,0,6,1,1
4109.24,0,17,1,0
351.57,1,23,1,0
705.18,1,8,1,0
9152.92,1,22,1,0
3729.98,1,3,1,0
36.96,0,8,1,0
427.99,1,3,1,0
4356.65,0,11,1,0
20.3,1,3,1,0
701.26,0,23,1,0
3182.79,1,19,1,0
4709.26,0,13,1,0
4221.77,0,23,1,1
1015.8,1,23,1,0
4981.67,0,6,1,0
1083.3,1,12,1,0
1574.54,0,21,1,0
5489.43,1,7,1,0
4195.1,0,22,1,0
7567.82,0,4,1,1
4287.25,0,11,1,0
3360.18,0,12,1,0
393.43,0,19,1,0
1833.67,0,13,1,0
1232.64,0,17,1,0
1118.8,0,23,1,0
10000.0,0,19,1,1
1997.55,1,3,1,0
8904.22,0,20,1,1
3989.34,0,17,1,0
6335.3,1,6,1,0
2793.74,0,14,1,0
3440.62,1,20,1,0
2713.17,0,5,1,0
868.86,0,15,1,0
5127.05,0,19,1,1
1318.31,1,23,1,0
98.47,1,7,1,0
4147.88,0,20,1,0
779.73,0,15,1,0
10000.0,1,21,1,0
10000.0,0,15,1,1
9854.04,0,2,1,1
1849.15,1,16,1,0
62.31,1,8,1,0
10000.0,0,2,1,1
2235.75,1,19,1,0
10000.0,1,6,1,0
10000.0,0,17,1,1
7669.55,0,11,1,1
1395.1,0,18,1,0
1945.17,1,15,1,0
7618.91,1,21,1,0
1524.58,0,23,1,0
742.87,1,16,1,0
3254.95,0,19,1,0
10000.0,0,14,1,1
4763.3,0,0,1,1
3376.45,0,1,1,1
408.91,1,7,1,0
3818.12,0,21,1,0
10000.0,1,1,1,1
603.68,0,18,1,0
2921.98,0,8,1,0
8394.43,1,8,1,0
5400.14,0,12,1,1
4776.3,0,5,1,1
4849.15,0,14,1,0
1781.97,1,18,1,0
